title_theme,title_index,author,theme,cycle,collection,mss_ff,mss,ff,page,mss_index,material_class,size_class,cent_i,cent_s
heroica,heroica,flavius philostratus,classical romances,cycle of troy,royal,16. c. xxiii. ff. 2-69 b,16. c. xxiii.,ff. 2-69 b,1,royal 16. c. xxiii. ff. 2-69 b,vellum,quarto,15.0,15e
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,royal,16. c. iv. a. b.,16. c. iv. a. b.,,2,royal 16. c. iv. a. b.,paper,quarto,16.0,16e
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,royal,16. d. iii. a. b.,16. d. iii. a. b.,,2,royal 16. d. iii. a. b.,paper,,6.0,6e
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,harley,harley 5662. ff. 1-56,harley 5662.,ff. 1-56,2,harley 5662. ff. 1-56,paper,quarto,15.0,15e
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,harley,harley 3514,harley 3514,,9,harley 3514,vellum,octavo,15.0,15e
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,burney,burney 170,burney 170,,9,burney 170,,,,unknown
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,additional,"add. 15,429","add. 15,429",,9,"additional add. 15,429",paper,octavo,15.0,15e
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,6. c. viii. ff. 123-133 b,6. c. viii.,ff. 123-133 b,12,royal 6. c. viii. ff. 123-133 b,vellum,folio,13.0,13e
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,10. a. x. ff. 188-192 b,10. a. x.,ff. 188-192 b,12,royal 10. a. x. ff. 188-192 b,vellum,quarto,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,13. a. v. ff. 88 b-98 b,13. a. v.,ff. 88 b-98 b,12,royal 13. a. v. ff. 88 b-98 b,vellum,quarto,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,15. a. xxii. ff. 73-90,15. a. xxii.,ff. 73-90,12,royal 15. a. xxii. ff. 73-90,vellum,quarto,12.0,12e
